filename,title,authors,year,word_count,primary_modality,primary_task,is_ecg_based,is_wearable,uses_deep_learning,uses_traditional_ml,modalities,tasks,study_types,datasets,ml_methods,evaluation
Mauldin et al. - 2021 - Ensemble Deep Learning on Wearables Using Small Datasets.md,Ensemble Deep Learning on Wearables Using Small Datasets,Mauldin et al.,2021.0,17417,ACC,detection,True,True,True,True,ECG; ACC,detection,review; experimental,wearable,"deep_learning: CNN, convolutional neural network, LSTM, RNN, deep learning, GAN, neural network; traditional_ml: SVM, random forest, decision tree, kNN, naive bayes, gradient boosting",cross_validation; patient_specific
Seth et al. - 2023 - Feasibility of cardiac‐based seizure detection and prediction A systematic review of non‐invasive w.md,Feasibility of cardiac‐based seizure detection and prediction A systematic review of non‐invasive w,Seth et al.,2023.0,21899,HRV,detection,True,True,True,True,ECG; HRV; PPG; EDA; ACC; EEG,detection; prediction; forecasting,review; retrospective; prospective; experimental,clinical; EMU; wearable,"deep_learning: GAN; traditional_ml: SVM, support vector",cross_validation; patient_specific
Seizures detection using multimodal signals a scoping review.md,Seizures detection using multimodal signals a scoping review,,,12025,EEG,detection,True,True,True,True,ECG; HRV; PPG; EDA; ACC; EEG,detection; prediction; forecasting,review; retrospective; prospective; experimental,clinical; EMU; wearable,"deep_learning: CNN, convolutional neural network, LSTM, deep learning, GAN, neural network; traditional_ml: SVM, support vector, random forest, decision tree, kNN; signal_processing: spectral analysis",
Nei et al. - 2004 - EEG and ECG in Sudden Unexplained Death in Epilepsy.md,EEG and ECG in Sudden Unexplained Death in Epilepsy,Nei et al.,2004.0,6793,ECG,prediction,True,False,True,False,ECG; HRV; EEG,prediction,review; clinical_trial; retrospective; prospective,clinical,deep_learning: GAN,
Zijlmans et al. - 2002 - Heart Rate Changes and ECG Abnormalities During Epileptic Seizures Prevalence and Definition of an.md,Heart Rate Changes and ECG Abnormalities During Epileptic Seizures Prevalence and Definition of an,Zijlmans et al.,2002.0,5120,ECG,detection,True,False,True,False,ECG; EEG,detection; prediction,review; retrospective,clinical,deep_learning: GAN,
Wong et al. - 2023 - EEG datasets for seizure detection and prediction— A review.md,EEG datasets for seizure detection and prediction— A review,Wong et al.,2023.0,10184,EEG,prediction,True,True,True,True,ECG; HRV; EEG,detection; prediction; forecasting,review; prospective; experimental,European Epilepsy Database; Siena; TUSZ; TUH; Freiburg; Temple; wearable; clinical; Physionet; EMU,"deep_learning: deep learning, GAN; traditional_ml: SVM; signal_processing: wavelet, filtering",
Ghaderi - 2025 - Advances in Machine Learning for Epileptic Seizure Prediction A Review of ECG-Based Approaches.md,Advances in Machine Learning for Epileptic Seizure Prediction A Review of ECG-Based Approaches,Ghaderi,2025.0,14144,HRV,prediction,True,True,True,True,ECG; HRV; EEG,detection; prediction; forecasting,review; prospective; experimental,European Epilepsy Database; Siena; wearable; clinical; Physionet; Epilepsiae,"deep_learning: CNN, LSTM, deep learning, transformer, autoencoder, GAN, neural network; traditional_ml: SVM, support vector, decision tree, kNN; signal_processing: wavelet, Fourier, spectral analysis, filtering",cross_validation; patient_specific
Kalousios et al. - 2024 - ECG‐based epileptic seizure prediction Challenges of current data‐driven models.md,ECG‐based epileptic seizure prediction Challenges of current data‐driven models,Kalousios et al.,2024.0,7119,HRV,prediction,True,True,True,True,ECG; HRV; PPG; EEG,detection; prediction; forecasting,review; clinical_trial; retrospective; prospective; experimental,clinical; wearable,"deep_learning: deep learning; traditional_ml: SVM, support vector, decision tree; signal_processing: bandpass",cross_validation
Pavei et al. - 2017 - Early Seizure Detection Based on Cardiac Autonomic Regulation Dynamics.md,Early Seizure Detection Based on Cardiac Autonomic Regulation Dynamics,Pavei et al.,2017.0,8947,HRV,prediction,True,False,True,True,ECG; HRV; EEG,detection; prediction,review; prospective; experimental,clinical; Physionet,"deep_learning: GAN; traditional_ml: SVM, support vector; signal_processing: wavelet, FFT, Fourier, spectral analysis",cross_validation
Mason et al. - 2024 - Heart Rate Variability as a Tool for Seizure Prediction A Scoping Review.md,Heart Rate Variability as a Tool for Seizure Prediction A Scoping Review,Mason et al.,2024.0,11515,HRV,detection,True,True,True,True,ECG; HRV; PPG; EDA; EEG,detection; prediction; forecasting,review; prospective; experimental,clinical; EMU; wearable,"deep_learning: GAN, neural network; traditional_ml: SVM, support vector, random forest, logistic regression; signal_processing: wavelet, FFT, Fourier, spectral analysis",patient_specific
